v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   657.000000                       0.001711          0.000370
   658.000000                       0.001760          0.000381
   659.000000                       0.001814          0.000392
   660.000000                       0.001873          0.000405
   661.000000                       0.001939          0.000419
   662.000000                       0.002013          0.000435
   663.000000                       0.002095          0.000453
   664.000000                       0.002187          0.000473
   665.000000                       0.002289          0.000495
   666.000000                       0.002405          0.000520
   667.000000                       0.002535          0.000548
   668.000000                       0.002683          0.000580
   669.000000                       0.002850          0.000616
   670.000000                       0.003042          0.000658
   671.000000                       0.003263          0.000706
   672.000000                       0.003517          0.000761
   673.000000                       0.003814          0.000825
   674.000000                       0.004161          0.000900
   675.000000                       0.004571          0.000989
   676.000000                       0.005060          0.001094
   677.000000                       0.005648          0.001222
   678.000000                       0.006365          0.001377
   679.000000                       0.007248          0.001568
   680.000000                       0.008354          0.001807
   681.000000                       0.009760          0.002111
   682.000000                       0.011583          0.002505
   683.000000                       0.014000          0.003028
   684.000000                       0.017286          0.003739
   685.000000                       0.021887          0.004734
   686.000000                       0.028548          0.006175
   687.000000                       0.038545          0.008337
   688.000000                       0.054061          0.011693
   689.000000                       0.078473          0.016973
   690.000000                       0.114662          0.024800
   691.000000                       0.154793          0.033480
   692.000000                       0.167336          0.036193
   693.000000                       0.137510          0.029742
   694.000000                       0.096711          0.020918
   695.000000                       0.065967          0.014268
   696.000000                       0.046089          0.009969
   697.000000                       0.033432          0.007231
   698.000000                       0.025157          0.005441
   699.000000                       0.019550          0.004229
   700.000000                       0.015614          0.003377
   701.000000                       0.012763          0.002760
   702.000000                       0.010639          0.002301
   703.000000                       0.009018          0.001951
   704.000000                       0.007756          0.001678
   705.000000                       0.006755          0.001461
   706.000000                       0.005949          0.001287
   707.000000                       0.005290          0.001144
   708.000000                       0.004745          0.001026
   709.000000                       0.004290          0.000928
   710.000000                       0.003905          0.000845
   711.000000                       0.003578          0.000774
   712.000000                       0.003297          0.000713
   713.000000                       0.003054          0.000661
   714.000000                       0.002843          0.000615
   715.000000                       0.002659          0.000575
   716.000000                       0.002496          0.000540
   717.000000                       0.002353          0.000509
   718.000000                       0.002225          0.000481
   719.000000                       0.002112          0.000457
   720.000000                       0.002011          0.000435
   721.000000                       0.001920          0.000415
   722.000000                       0.001838          0.000398
   723.000000                       0.001764          0.000382
   724.000000                       0.001698          0.000367
   725.000000                       0.001638          0.000354
   726.000000                       0.001583          0.000342
   727.000000                       0.001534          0.000332
   728.000000                       0.001489          0.000322
   729.000000                       0.001448          0.000313
   730.000000                       0.001412          0.000305
   731.000000                       0.001378          0.000298
   732.000000                       0.001348          0.000292
   733.000000                       0.001321          0.000286
   734.000000                       0.001296          0.000280
   735.000000                       0.001274          0.000276
   736.000000                       0.001254          0.000271
   737.000000                       0.001237          0.000268
   738.000000                       0.001222          0.000264
   739.000000                       0.001209          0.000261
   740.000000                       0.001198          0.000259
   741.000000                       0.001189          0.000257
   742.000000                       0.001181          0.000255
   743.000000                       0.001176          0.000254
   744.000000                       0.001172          0.000254
   745.000000                       0.001171          0.000253
   746.000000                       0.001171          0.000253
   747.000000                       0.001173          0.000254
   748.000000                       0.001177          0.000255
   749.000000                       0.001183          0.000256
   750.000000                       0.001191          0.000258
   751.000000                       0.001202          0.000260
