v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   798.000000                     0.000142          0.016942
   799.000000                     0.000134          0.016004
   800.000000                     0.000127          0.015137
   801.000000                     0.000120          0.014339
   802.000000                     0.000114          0.013610
   803.000000                     0.000109          0.012945
   804.000000                     0.000104          0.012341
   805.000000                     0.000099          0.011791
   806.000000                     0.000095          0.011292
   807.000000                     0.000091          0.010837
   808.000000                     0.000088          0.010423
   809.000000                     0.000084          0.010045
   810.000000                     0.000081          0.009699
   811.000000                     0.000079          0.009382
   812.000000                     0.000076          0.009093
   813.000000                     0.000074          0.008827
   814.000000                     0.000072          0.008583
   815.000000                     0.000070          0.008359
   816.000000                     0.000068          0.008153
   817.000000                     0.000067          0.007965
   818.000000                     0.000065          0.007793
   819.000000                     0.000064          0.007636
   820.000000                     0.000063          0.007493
   821.000000                     0.000062          0.007363
   822.000000                     0.000061          0.007246
   823.000000                     0.000060          0.007142
   824.000000                     0.000059          0.007049
   825.000000                     0.000059          0.006969
   826.000000                     0.000058          0.006899
   827.000000                     0.000057          0.006842
   828.000000                     0.000057          0.006796
   829.000000                     0.000057          0.006762
   830.000000                     0.000057          0.006740
   831.000000                     0.000057          0.006731
   832.000000                     0.000057          0.006734
   833.000000                     0.000057          0.006752
   834.000000                     0.000057          0.006783
   835.000000                     0.000057          0.006831
   836.000000                     0.000058          0.006896
   837.000000                     0.000059          0.006979
   838.000000                     0.000059          0.007082
   839.000000                     0.000061          0.007208
   840.000000                     0.000062          0.007359
   841.000000                     0.000063          0.007539
   842.000000                     0.000065          0.007751
   843.000000                     0.000067          0.007999
   844.000000                     0.000070          0.008289
   845.000000                     0.000072          0.008627
   846.000000                     0.000076          0.009021
   847.000000                     0.000080          0.009480
   848.000000                     0.000084          0.010014
   849.000000                     0.000089          0.010637
   850.000000                     0.000095          0.011362
   851.000000                     0.000103          0.012206
   852.000000                     0.000111          0.013188
   853.000000                     0.000120          0.014327
   854.000000                     0.000131          0.015641
   855.000000                     0.000144          0.017146
   856.000000                     0.000158          0.018843
   857.000000                     0.000174          0.020716
   858.000000                     0.000191          0.022716
   859.000000                     0.000208          0.024749
   860.000000                     0.000224          0.026664
   861.000000                     0.000237          0.028266
   862.000000                     0.000246          0.029344
   863.000000                     0.000250          0.029730
   864.000000                     0.000247          0.029354
   865.000000                     0.000238          0.028277
   866.000000                     0.000224          0.026660
   867.000000                     0.000208          0.024713
   868.000000                     0.000190          0.022635
   869.000000                     0.000173          0.020579
   870.000000                     0.000157          0.018644
   871.000000                     0.000142          0.016883
   872.000000                     0.000129          0.015313
   873.000000                     0.000117          0.013933
   874.000000                     0.000107          0.012729
   875.000000                     0.000098          0.011683
   876.000000                     0.000091          0.010776
   877.000000                     0.000084          0.009988
   878.000000                     0.000078          0.009303
   879.000000                     0.000073          0.008705
   880.000000                     0.000069          0.008183
   881.000000                     0.000065          0.007725
   882.000000                     0.000061          0.007322
   883.000000                     0.000059          0.006966
   884.000000                     0.000056          0.006650
   885.000000                     0.000054          0.006370
   886.000000                     0.000051          0.006120
   887.000000                     0.000050          0.005896
   888.000000                     0.000048          0.005696
   889.000000                     0.000046          0.005516
   890.000000                     0.000045          0.005354
   891.000000                     0.000044          0.005207
   892.000000                     0.000043          0.005075
   893.000000                     0.000042          0.004955
   894.000000                     0.000041          0.004846
   895.000000                     0.000040          0.004747
   896.000000                     0.000039          0.004658
   897.000000                     0.000038          0.004576
   898.000000                     0.000038          0.004502
   899.000000                     0.000037          0.004434
   900.000000                     0.000037          0.004373
   901.000000                     0.000036          0.004317
   902.000000                     0.000036          0.004267
   903.000000                     0.000035          0.004221
   904.000000                     0.000035          0.004179
   905.000000                     0.000035          0.004142
   906.000000                     0.000035          0.004109
   907.000000                     0.000034          0.004079
   908.000000                     0.000034          0.004053
   909.000000                     0.000034          0.004029
   910.000000                     0.000034          0.004009
   911.000000                     0.000034          0.003992
   912.000000                     0.000033          0.003977
   913.000000                     0.000033          0.003965
   914.000000                     0.000033          0.003956
   915.000000                     0.000033          0.003949
   916.000000                     0.000033          0.003944
   917.000000                     0.000033          0.003942
   918.000000                     0.000033          0.003943
   919.000000                     0.000033          0.003945
   920.000000                     0.000033          0.003950
   921.000000                     0.000033          0.003958
   922.000000                     0.000033          0.003968
   923.000000                     0.000033          0.003980
   924.000000                     0.000034          0.003995
   925.000000                     0.000034          0.004013
   926.000000                     0.000034          0.004033
   927.000000                     0.000034          0.004057
   928.000000                     0.000034          0.004083
   929.000000                     0.000035          0.004114
   930.000000                     0.000035          0.004148
   931.000000                     0.000035          0.004186
   932.000000                     0.000036          0.004228
   933.000000                     0.000036          0.004274
   934.000000                     0.000036          0.004324
   935.000000                     0.000037          0.004378
   936.000000                     0.000037          0.004434
   937.000000                     0.000038          0.004490
   938.000000                     0.000038          0.004544
   939.000000                     0.000039          0.004594
   940.000000                     0.000039          0.004639
   941.000000                     0.000039          0.004677
   942.000000                     0.000040          0.004711
   943.000000                     0.000040          0.004743
   944.000000                     0.000040          0.004775
   945.000000                     0.000040          0.004810
   946.000000                     0.000041          0.004851
   947.000000                     0.000041          0.004897
   948.000000                     0.000042          0.004951
   949.000000                     0.000042          0.005013
   950.000000                     0.000043          0.005083
   951.000000                     0.000043          0.005163
   952.000000                     0.000044          0.005251
   953.000000                     0.000045          0.005349
   954.000000                     0.000046          0.005457
   955.000000                     0.000047          0.005573
   956.000000                     0.000048          0.005697
   957.000000                     0.000049          0.005825
   958.000000                     0.000050          0.005953
   959.000000                     0.000051          0.006078
   960.000000                     0.000052          0.006194
   961.000000                     0.000053          0.006299
   962.000000                     0.000054          0.006395
   963.000000                     0.000054          0.006484
   964.000000                     0.000055          0.006573
   965.000000                     0.000056          0.006665
   966.000000                     0.000057          0.006768
   967.000000                     0.000058          0.006885
