v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   657.000000                       0.001711          0.000370
   658.000000                       0.001759          0.000380
   659.000000                       0.001813          0.000392
   660.000000                       0.001873          0.000405
   661.000000                       0.001939          0.000419
   662.000000                       0.002012          0.000435
   663.000000                       0.002094          0.000453
   664.000000                       0.002186          0.000473
   665.000000                       0.002289          0.000495
   666.000000                       0.002404          0.000520
   667.000000                       0.002534          0.000548
   668.000000                       0.002682          0.000580
   669.000000                       0.002849          0.000616
   670.000000                       0.003041          0.000658
   671.000000                       0.003261          0.000705
   672.000000                       0.003516          0.000760
   673.000000                       0.003812          0.000825
   674.000000                       0.004159          0.000900
   675.000000                       0.004569          0.000988
   676.000000                       0.005058          0.001094
   677.000000                       0.005646          0.001221
   678.000000                       0.006362          0.001376
   679.000000                       0.007246          0.001567
   680.000000                       0.008350          0.001806
   681.000000                       0.009756          0.002110
   682.000000                       0.011579          0.002504
   683.000000                       0.013994          0.003027
   684.000000                       0.017279          0.003737
   685.000000                       0.021878          0.004732
   686.000000                       0.028536          0.006172
   687.000000                       0.038529          0.008333
   688.000000                       0.054038          0.011687
   689.000000                       0.078440          0.016964
   690.000000                       0.114613          0.024788
   691.000000                       0.154727          0.033463
   692.000000                       0.167265          0.036175
   693.000000                       0.137452          0.029727
   694.000000                       0.096670          0.020907
   695.000000                       0.065939          0.014261
   696.000000                       0.046070          0.009964
   697.000000                       0.033418          0.007227
   698.000000                       0.025147          0.005439
   699.000000                       0.019542          0.004226
   700.000000                       0.015608          0.003376
   701.000000                       0.012758          0.002759
   702.000000                       0.010635          0.002300
   703.000000                       0.009015          0.001950
   704.000000                       0.007753          0.001677
   705.000000                       0.006753          0.001460
   706.000000                       0.005947          0.001286
   707.000000                       0.005288          0.001144
   708.000000                       0.004744          0.001026
   709.000000                       0.004288          0.000927
   710.000000                       0.003904          0.000844
   711.000000                       0.003577          0.000774
   712.000000                       0.003296          0.000713
   713.000000                       0.003053          0.000660
   714.000000                       0.002842          0.000615
   715.000000                       0.002658          0.000575
   716.000000                       0.002495          0.000540
   717.000000                       0.002352          0.000509
   718.000000                       0.002225          0.000481
   719.000000                       0.002111          0.000457
   720.000000                       0.002010          0.000435
   721.000000                       0.001919          0.000415
   722.000000                       0.001838          0.000397
   723.000000                       0.001764          0.000381
   724.000000                       0.001698          0.000367
   725.000000                       0.001637          0.000354
   726.000000                       0.001583          0.000342
   727.000000                       0.001534          0.000332
   728.000000                       0.001489          0.000322
   729.000000                       0.001448          0.000313
   730.000000                       0.001411          0.000305
   731.000000                       0.001378          0.000298
   732.000000                       0.001348          0.000291
   733.000000                       0.001320          0.000286
   734.000000                       0.001296          0.000280
   735.000000                       0.001274          0.000276
   736.000000                       0.001254          0.000271
   737.000000                       0.001237          0.000268
   738.000000                       0.001222          0.000264
   739.000000                       0.001209          0.000261
   740.000000                       0.001198          0.000259
   741.000000                       0.001188          0.000257
   742.000000                       0.001181          0.000255
   743.000000                       0.001176          0.000254
   744.000000                       0.001172          0.000254
   745.000000                       0.001170          0.000253
   746.000000                       0.001171          0.000253
   747.000000                       0.001173          0.000254
   748.000000                       0.001177          0.000255
   749.000000                       0.001183          0.000256
   750.000000                       0.001191          0.000258
   751.000000                       0.001202          0.000260
   752.000000                       0.001214          0.000263
   753.000000                       0.001230          0.000266
   754.000000                       0.001248          0.000270
   755.000000                       0.001268          0.000274
   756.000000                       0.001292          0.000279
   757.000000                       0.001319          0.000285
   758.000000                       0.001350          0.000292
   759.000000                       0.001385          0.000300
   760.000000                       0.001425          0.000308
   761.000000                       0.001470          0.000318
   762.000000                       0.001520          0.000329
   763.000000                       0.001577          0.000341
   764.000000                       0.001641          0.000355
   765.000000                       0.001713          0.000371
   766.000000                       0.001795          0.000388
   767.000000                       0.001888          0.000408
   768.000000                       0.001994          0.000431
   769.000000                       0.002115          0.000457
   770.000000                       0.002253          0.000487
   771.000000                       0.002413          0.000522
   772.000000                       0.002598          0.000562
   773.000000                       0.002813          0.000608
   774.000000                       0.003066          0.000663
   775.000000                       0.003365          0.000728
   776.000000                       0.003721          0.000805
   777.000000                       0.004150          0.000898
   778.000000                       0.004673          0.001011
   779.000000                       0.005319          0.001150
   780.000000                       0.006127          0.001325
   781.000000                       0.007158          0.001548
   782.000000                       0.008498          0.001838
   783.000000                       0.010282          0.002224
   784.000000                       0.012728          0.002753
   785.000000                       0.016198          0.003503
   786.000000                       0.021333          0.004614
   787.000000                       0.029340          0.006346
   788.000000                       0.042667          0.009228
   789.000000                       0.066627          0.014410
   790.000000                       0.112982          0.024435
   791.000000                       0.199902          0.043234
   792.000000                       0.286753          0.062017
   793.000000                       0.231750          0.050121
   794.000000                       0.133675          0.028910
   795.000000                       0.077121          0.016679
   796.000000                       0.048212          0.010427
   797.000000                       0.032507          0.007030
   798.000000                       0.023268          0.005032
   799.000000                       0.017445          0.003773
   800.000000                       0.013564          0.002934
   801.000000                       0.010857          0.002348
   802.000000                       0.008898          0.001924
   803.000000                       0.007437          0.001608
   804.000000                       0.006319          0.001367
   805.000000                       0.005445          0.001178
   806.000000                       0.004749          0.001027
   807.000000                       0.004186          0.000905
   808.000000                       0.003724          0.000805
   809.000000                       0.003340          0.000722
   810.000000                       0.003018          0.000653
   811.000000                       0.002745          0.000594
   812.000000                       0.002511          0.000543
   813.000000                       0.002310          0.000500
   814.000000                       0.002135          0.000462
   815.000000                       0.001982          0.000429
   816.000000                       0.001847          0.000400
   817.000000                       0.001729          0.000374
   818.000000                       0.001623          0.000351
   819.000000                       0.001529          0.000331
   820.000000                       0.001444          0.000312
   821.000000                       0.001368          0.000296
   822.000000                       0.001299          0.000281
   823.000000                       0.001237          0.000268
   824.000000                       0.001180          0.000255
