v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   414.000000                       0.017050          0.003689
   415.000000                       0.017906          0.003874
   416.000000                       0.018835          0.004075
   417.000000                       0.019845          0.004293
   418.000000                       0.020946          0.004532
   419.000000                       0.022150          0.004792
   420.000000                       0.023473          0.005078
   421.000000                       0.024931          0.005394
   422.000000                       0.026547          0.005743
   423.000000                       0.028348          0.006133
   424.000000                       0.030372          0.006571
   425.000000                       0.032668          0.007067
   426.000000                       0.035304          0.007638
   427.000000                       0.038383          0.008304
   428.000000                       0.042067          0.009101
   429.000000                       0.046635          0.010089
   430.000000                       0.052614          0.011383
   431.000000                       0.061144          0.013228
   432.000000                       0.075098          0.016247
   433.000000                       0.103276          0.022343
   434.000000                       0.175547          0.037978
   435.000000                       0.281315          0.060861
   436.000000                       0.187693          0.040606
   437.000000                       0.129751          0.028071
   438.000000                       0.116224          0.025144
   439.000000                       0.118042          0.025538
   440.000000                       0.127089          0.027495
   441.000000                       0.141248          0.030558
   442.000000                       0.160353          0.034691
   443.000000                       0.185200          0.040067
   444.000000                       0.217376          0.047028
   445.000000                       0.259445          0.056129
   446.000000                       0.315413          0.068237
   447.000000                       0.391628          0.084726
   448.000000                       0.498445          0.107835
   449.000000                       0.653353          0.141349
   450.000000                       0.886938          0.191883
   451.000000                       1.253741          0.271239
   452.000000                       1.847140          0.399617
   453.000000                       2.785456          0.602615
   454.000000                       3.989789          0.863165
   455.000000                       4.622280          1.000000
   456.000000                       3.904084          0.844623
   457.000000                       2.702501          0.584669
   458.000000                       1.792213          0.387733
   459.000000                       1.219630          0.263859
   460.000000                       0.865185          0.187177
   461.000000                       0.638731          0.138185
   462.000000                       0.487997          0.105575
   463.000000                       0.383657          0.083002
   464.000000                       0.308887          0.066826
   465.000000                       0.253685          0.054883
   466.000000                       0.211873          0.045837
   467.000000                       0.179500          0.038834
   468.000000                       0.153953          0.033307
   469.000000                       0.133457          0.028873
   470.000000                       0.116773          0.025263
   471.000000                       0.103018          0.022287
   472.000000                       0.091548          0.019806
   473.000000                       0.081887          0.017716
   474.000000                       0.073674          0.015939
   475.000000                       0.066636          0.014416
   476.000000                       0.060560          0.013102
   477.000000                       0.055278          0.011959
   478.000000                       0.050658          0.010959
   479.000000                       0.046594          0.010080
   480.000000                       0.043001          0.009303
   481.000000                       0.039810          0.008613
   482.000000                       0.036961          0.007996
   483.000000                       0.034409          0.007444
   484.000000                       0.032113          0.006947
   485.000000                       0.030040          0.006499
   486.000000                       0.028162          0.006093
   487.000000                       0.026456          0.005724
   488.000000                       0.024902          0.005387
   489.000000                       0.023481          0.005080
   490.000000                       0.022179          0.004798
   491.000000                       0.020983          0.004540
   492.000000                       0.019882          0.004301
   493.000000                       0.018866          0.004082
   494.000000                       0.017927          0.003878
   495.000000                       0.017057          0.003690
   496.000000                       0.016249          0.003515
   497.000000                       0.015498          0.003353
   498.000000                       0.014798          0.003201
   499.000000                       0.014145          0.003060
   500.000000                       0.013535          0.002928
   501.000000                       0.012964          0.002805
   502.000000                       0.012429          0.002689
   503.000000                       0.011927          0.002580
   504.000000                       0.011455          0.002478
   505.000000                       0.011011          0.002382
   506.000000                       0.010592          0.002292
   507.000000                       0.010197          0.002206
   508.000000                       0.009825          0.002126
   509.000000                       0.009473          0.002049
   510.000000                       0.009139          0.001977
   511.000000                       0.008824          0.001909
   512.000000                       0.008524          0.001844
   513.000000                       0.008240          0.001783
   514.000000                       0.007971          0.001724
   515.000000                       0.007714          0.001669
   516.000000                       0.007470          0.001616
   517.000000                       0.007238          0.001566
   518.000000                       0.007016          0.001518
   519.000000                       0.006805          0.001472
   520.000000                       0.006604          0.001429
   521.000000                       0.006411          0.001387
   522.000000                       0.006227          0.001347
   523.000000                       0.006052          0.001309
   524.000000                       0.005883          0.001273
   525.000000                       0.005722          0.001238
   526.000000                       0.005568          0.001205
   527.000000                       0.005420          0.001173
   528.000000                       0.005278          0.001142
   529.000000                       0.005141          0.001112
   530.000000                       0.005010          0.001084
   531.000000                       0.004885          0.001057
   532.000000                       0.004764          0.001031
   533.000000                       0.004648          0.001005
   534.000000                       0.004536          0.000981
   535.000000                       0.004428          0.000958
   536.000000                       0.004324          0.000936
   537.000000                       0.004224          0.000914
   538.000000                       0.004128          0.000893
   539.000000                       0.004035          0.000873
   540.000000                       0.003945          0.000854
   541.000000                       0.003859          0.000835
