v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   807.000000                     0.000388          0.039044
   808.000000                     0.000430          0.043256
   809.000000                     0.000478          0.048126
   810.000000                     0.000534          0.053739
   811.000000                     0.000598          0.060169
   812.000000                     0.000670          0.067453
   813.000000                     0.000751          0.075562
   814.000000                     0.000838          0.084345
   815.000000                     0.000929          0.093473
   816.000000                     0.001018          0.102383
   817.000000                     0.001096          0.110280
   818.000000                     0.001155          0.116229
   819.000000                     0.001186          0.119366
   820.000000                     0.001185          0.119177
   821.000000                     0.001150          0.115685
   822.000000                     0.001088          0.109446
   823.000000                     0.001007          0.101339
   824.000000                     0.000917          0.092294
   825.000000                     0.000826          0.083090
   826.000000                     0.000738          0.074266
   827.000000                     0.000657          0.066135
   828.000000                     0.000585          0.058834
   829.000000                     0.000521          0.052385
   830.000000                     0.000465          0.046747
   831.000000                     0.000416          0.041843
   832.000000                     0.000374          0.037589
   833.000000                     0.000337          0.033897
   834.000000                     0.000305          0.030691
   835.000000                     0.000277          0.027897
   836.000000                     0.000253          0.025457
   837.000000                     0.000232          0.023318
   838.000000                     0.000213          0.021436
   839.000000                     0.000197          0.019773
   840.000000                     0.000182          0.018300
   841.000000                     0.000169          0.016990
   842.000000                     0.000157          0.015820
   843.000000                     0.000147          0.014774
   844.000000                     0.000137          0.013833
   845.000000                     0.000129          0.012986
   846.000000                     0.000121          0.012220
   847.000000                     0.000115          0.011526
   848.000000                     0.000108          0.010896
   849.000000                     0.000103          0.010321
   850.000000                     0.000097          0.009796
   851.000000                     0.000093          0.009315
   852.000000                     0.000088          0.008874
   853.000000                     0.000084          0.008467
   854.000000                     0.000080          0.008093
   855.000000                     0.000077          0.007747
   856.000000                     0.000074          0.007427
   857.000000                     0.000071          0.007130
   858.000000                     0.000068          0.006855
   859.000000                     0.000066          0.006599
   860.000000                     0.000063          0.006360
   861.000000                     0.000061          0.006137
   862.000000                     0.000059          0.005929
   863.000000                     0.000057          0.005735
   864.000000                     0.000055          0.005553
   865.000000                     0.000053          0.005382
   866.000000                     0.000052          0.005222
   867.000000                     0.000050          0.005072
   868.000000                     0.000049          0.004931
   869.000000                     0.000048          0.004798
   870.000000                     0.000046          0.004673
   871.000000                     0.000045          0.004556
   872.000000                     0.000044          0.004445
   873.000000                     0.000043          0.004341
   874.000000                     0.000042          0.004244
   875.000000                     0.000041          0.004152
   876.000000                     0.000040          0.004065
   877.000000                     0.000040          0.003984
   878.000000                     0.000039          0.003908
   879.000000                     0.000038          0.003837
   880.000000                     0.000037          0.003771
   881.000000                     0.000037          0.003709
   882.000000                     0.000036          0.003652
   883.000000                     0.000036          0.003599
