v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   976.000000                     0.000147          0.011850
   977.000000                     0.000152          0.012232
   978.000000                     0.000157          0.012648
   979.000000                     0.000162          0.013100
   980.000000                     0.000168          0.013593
   981.000000                     0.000175          0.014133
   982.000000                     0.000182          0.014723
   983.000000                     0.000190          0.015369
   984.000000                     0.000199          0.016076
   985.000000                     0.000209          0.016849
   986.000000                     0.000219          0.017687
   987.000000                     0.000230          0.018590
   988.000000                     0.000242          0.019544
   989.000000                     0.000254          0.020528
   990.000000                     0.000267          0.021507
   991.000000                     0.000278          0.022436
   992.000000                     0.000288          0.023273
   993.000000                     0.000297          0.023986
   994.000000                     0.000305          0.024573
   995.000000                     0.000311          0.025062
   996.000000                     0.000316          0.025502
   997.000000                     0.000322          0.025949
   998.000000                     0.000328          0.026455
   999.000000                     0.000335          0.027063
  1000.000000                     0.000345          0.027804
  1001.000000                     0.000356          0.028702
  1002.000000                     0.000369          0.029773
  1003.000000                     0.000385          0.031036
  1004.000000                     0.000403          0.032509
  1005.000000                     0.000424          0.034213
  1006.000000                     0.000448          0.036174
  1007.000000                     0.000476          0.038423
  1008.000000                     0.000508          0.040999
  1009.000000                     0.000545          0.043947
  1010.000000                     0.000587          0.047323
  1011.000000                     0.000634          0.051187
  1012.000000                     0.000689          0.055608
  1013.000000                     0.000752          0.060658
  1014.000000                     0.000823          0.066402
  1015.000000                     0.000903          0.072888
  1016.000000                     0.000993          0.080117
  1017.000000                     0.001091          0.088013
  1018.000000                     0.001195          0.096371
  1019.000000                     0.001299          0.104817
  1020.000000                     0.001398          0.112782
  1021.000000                     0.001482          0.119552
  1022.000000                     0.001542          0.124406
  1023.000000                     0.001572          0.126826
  1024.000000                     0.001570          0.126694
  1025.000000                     0.001541          0.124337
  1026.000000                     0.001492          0.120413
  1027.000000                     0.001434          0.115695
  1028.000000                     0.001374          0.110881
  1029.000000                     0.001320          0.106499
  1030.000000                     0.001275          0.102887
  1031.000000                     0.001242          0.100235
  1032.000000                     0.001223          0.098633
  1033.000000                     0.001216          0.098113
  1034.000000                     0.001223          0.098683
  1035.000000                     0.001244          0.100350
  1036.000000                     0.001278          0.103132
  1037.000000                     0.001327          0.107064
  1038.000000                     0.001391          0.112212
  1039.000000                     0.001471          0.118668
  1040.000000                     0.001569          0.126559
  1041.000000                     0.001686          0.136051
  1042.000000                     0.001826          0.147350
  1043.000000                     0.001992          0.160706
  1044.000000                     0.002187          0.176411
  1045.000000                     0.002414          0.194795
  1046.000000                     0.002680          0.216210
  1047.000000                     0.002987          0.240988
  1048.000000                     0.003339          0.269382
  1049.000000                     0.003736          0.301445
  1050.000000                     0.004175          0.336858
  1051.000000                     0.004644          0.374697
  1052.000000                     0.005121          0.413176
  1053.000000                     0.005571          0.449492
  1054.000000                     0.005949          0.479960
  1055.000000                     0.006205          0.500630
  1056.000000                     0.006301          0.508339
  1057.000000                     0.006220          0.501816
  1058.000000                     0.005976          0.482165
  1059.000000                     0.005608          0.452441
  1060.000000                     0.005163          0.416581
  1061.000000                     0.004689          0.378320
  1062.000000                     0.004221          0.340538
  1063.000000                     0.003782          0.305097
  1064.000000                     0.003384          0.272982
  1065.000000                     0.003031          0.244552
  1066.000000                     0.002724          0.219780
  1067.000000                     0.002460          0.198431
  1068.000000                     0.002233          0.180183
  1069.000000                     0.002041          0.164695
  1070.000000                     0.001880          0.151645
  1071.000000                     0.001745          0.140748
  1072.000000                     0.001633          0.131761
  1073.000000                     0.001543          0.124484
  1074.000000                     0.001472          0.118748
  1075.000000                     0.001418          0.114410
  1076.000000                     0.001380          0.111334
  1077.000000                     0.001356          0.109370
  1078.000000                     0.001343          0.108323
  1079.000000                     0.001338          0.107930
  1080.000000                     0.001337          0.107832
  1081.000000                     0.001333          0.107585
  1082.000000                     0.001323          0.106715
  1083.000000                     0.001299          0.104830
  1084.000000                     0.001261          0.101730
  1085.000000                     0.001208          0.097474
  1086.000000                     0.001145          0.092339
  1087.000000                     0.001075          0.086715
  1088.000000                     0.001004          0.080980
  1089.000000                     0.000935          0.075433
  1090.000000                     0.000871          0.070264
  1091.000000                     0.000813          0.065573
  1092.000000                     0.000761          0.061389
  1093.000000                     0.000715          0.057702
  1094.000000                     0.000675          0.054477
  1095.000000                     0.000640          0.051673
  1096.000000                     0.000610          0.049244
  1097.000000                     0.000584          0.047147
  1098.000000                     0.000562          0.045344
  1099.000000                     0.000543          0.043802
  1100.000000                     0.000527          0.042491
  1101.000000                     0.000513          0.041388
  1102.000000                     0.000502          0.040473
  1103.000000                     0.000492          0.039728
  1104.000000                     0.000485          0.039141
  1105.000000                     0.000480          0.038700
  1106.000000                     0.000476          0.038398
  1107.000000                     0.000474          0.038228
  1108.000000                     0.000473          0.038186
  1109.000000                     0.000474          0.038268
  1110.000000                     0.000477          0.038475
  1111.000000                     0.000481          0.038807
  1112.000000                     0.000487          0.039265
  1113.000000                     0.000494          0.039853
  1114.000000                     0.000503          0.040576
  1115.000000                     0.000514          0.041442
  1116.000000                     0.000526          0.042459
  1117.000000                     0.000541          0.043636
  1118.000000                     0.000558          0.044988
  1119.000000                     0.000577          0.046530
  1120.000000                     0.000598          0.048278
  1121.000000                     0.000623          0.050256
  1122.000000                     0.000651          0.052487
  1123.000000                     0.000682          0.055001
  1124.000000                     0.000717          0.057834
  1125.000000                     0.000756          0.061025
  1126.000000                     0.000801          0.064624
  1127.000000                     0.000851          0.068686
  1128.000000                     0.000908          0.073281
  1129.000000                     0.000973          0.078486
  1130.000000                     0.001046          0.084398
  1131.000000                     0.001130          0.091129
  1132.000000                     0.001225          0.098813
  1133.000000                     0.001334          0.107609
  1134.000000                     0.001459          0.117704
  1135.000000                     0.001603          0.129321
  1136.000000                     0.001769          0.142715
  1137.000000                     0.001961          0.158179
  1138.000000                     0.002182          0.176034
  1139.000000                     0.002437          0.196619
  1140.000000                     0.002730          0.220249
  1141.000000                     0.003063          0.247158
  1142.000000                     0.003438          0.277387
  1143.000000                     0.003850          0.310626
  1144.000000                     0.004289          0.345995
  1145.000000                     0.004733          0.381823
  1146.000000                     0.005150          0.415523
  1147.000000                     0.005500          0.443759
  1148.000000                     0.005739          0.463029
  1149.000000                     0.005833          0.470629
  1150.000000                     0.005771          0.465567
  1151.000000                     0.005564          0.448902
  1152.000000                     0.005247          0.423286
  1153.000000                     0.004859          0.392036
  1154.000000                     0.004441          0.358271
  1155.000000                     0.004021          0.324438
  1156.000000                     0.003622          0.292214
  1157.000000                     0.003255          0.262599
  1158.000000                     0.002926          0.236082
  1159.000000                     0.002638          0.212797
  1160.000000                     0.002388          0.192659
  1161.000000                     0.002175          0.175460
  1162.000000                     0.001995          0.160944
  1163.000000                     0.001845          0.148850
  1164.000000                     0.001722          0.138935
  1165.000000                     0.001624          0.130985
  1166.000000                     0.001547          0.124816
  1167.000000                     0.001491          0.120262
  1168.000000                     0.001452          0.117159
  1169.000000                     0.001429          0.115320
  1170.000000                     0.001419          0.114498
  1171.000000                     0.001417          0.114355
  1172.000000                     0.001418          0.114438
  1173.000000                     0.001415          0.114200
  1174.000000                     0.001402          0.113080
  1175.000000                     0.001371          0.110641
  1176.000000                     0.001323          0.106703
  1177.000000                     0.001257          0.101394
  1178.000000                     0.001179          0.095083
  1179.000000                     0.001094          0.088247
  1180.000000                     0.001008          0.081325
  1181.000000                     0.000925          0.074652
  1182.000000                     0.000848          0.068432
  1183.000000                     0.000778          0.062765
  1184.000000                     0.000715          0.057676
  1185.000000                     0.000659          0.053145
  1186.000000                     0.000609          0.049126
  1187.000000                     0.000565          0.045567
  1188.000000                     0.000526          0.042413
  1189.000000                     0.000491          0.039612
  1190.000000                     0.000460          0.037118
  1191.000000                     0.000432          0.034889
  1192.000000                     0.000408          0.032892
  1193.000000                     0.000385          0.031095
  1194.000000                     0.000365          0.029472
  1195.000000                     0.000347          0.028002
  1196.000000                     0.000331          0.026666
  1197.000000                     0.000315          0.025447
  1198.000000                     0.000302          0.024333
  1199.000000                     0.000289          0.023311
  1200.000000                     0.000277          0.022372
  1201.000000                     0.000267          0.021506
  1202.000000                     0.000257          0.020706
  1203.000000                     0.000247          0.019965
  1204.000000                     0.000239          0.019278
  1205.000000                     0.000231          0.018640
  1206.000000                     0.000224          0.018046
  1207.000000                     0.000217          0.017492
  1208.000000                     0.000210          0.016975
  1209.000000                     0.000204          0.016492
  1210.000000                     0.000199          0.016040
  1211.000000                     0.000194          0.015617
  1212.000000                     0.000189          0.015220
  1213.000000                     0.000184          0.014848
  1214.000000                     0.000180          0.014498
  1215.000000                     0.000176          0.014170
  1216.000000                     0.000172          0.013861
  1217.000000                     0.000168          0.013571
  1218.000000                     0.000165          0.013299
  1219.000000                     0.000162          0.013043
  1220.000000                     0.000159          0.012802
  1221.000000                     0.000156          0.012575
  1222.000000                     0.000153          0.012363
  1223.000000                     0.000151          0.012163
  1224.000000                     0.000148          0.011976
  1225.000000                     0.000146          0.011800
  1226.000000                     0.000144          0.011636
  1227.000000                     0.000142          0.011482
  1228.000000                     0.000141          0.011339
  1229.000000                     0.000139          0.011206
  1230.000000                     0.000137          0.011082
  1231.000000                     0.000136          0.010967
  1232.000000                     0.000135          0.010861
  1233.000000                     0.000133          0.010764
  1234.000000                     0.000132          0.010675
  1235.000000                     0.000131          0.010594
  1236.000000                     0.000130          0.010522
