v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   809.000000                     0.000037          0.024732
   810.000000                     0.000036          0.024040
   811.000000                     0.000035          0.023381
   812.000000                     0.000034          0.022752
   813.000000                     0.000033          0.022151
   814.000000                     0.000032          0.021578
   815.000000                     0.000032          0.021031
   816.000000                     0.000031          0.020507
   817.000000                     0.000030          0.020006
   818.000000                     0.000029          0.019527
   819.000000                     0.000029          0.019068
   820.000000                     0.000028          0.018628
   821.000000                     0.000027          0.018206
   822.000000                     0.000027          0.017802
   823.000000                     0.000026          0.017415
   824.000000                     0.000026          0.017043
   825.000000                     0.000025          0.016686
   826.000000                     0.000025          0.016343
   827.000000                     0.000024          0.016014
   828.000000                     0.000024          0.015698
   829.000000                     0.000023          0.015394
   830.000000                     0.000023          0.015102
   831.000000                     0.000022          0.014822
   832.000000                     0.000022          0.014552
   833.000000                     0.000021          0.014293
   834.000000                     0.000021          0.014044
   835.000000                     0.000021          0.013805
   836.000000                     0.000020          0.013575
   837.000000                     0.000020          0.013354
   838.000000                     0.000020          0.013142
   839.000000                     0.000019          0.012938
   840.000000                     0.000019          0.012743
   841.000000                     0.000019          0.012555
   842.000000                     0.000019          0.012375
   843.000000                     0.000018          0.012203
   844.000000                     0.000018          0.012038
   845.000000                     0.000018          0.011880
   846.000000                     0.000018          0.011729
   847.000000                     0.000017          0.011585
   848.000000                     0.000017          0.011447
   849.000000                     0.000017          0.011316
   850.000000                     0.000017          0.011192
   851.000000                     0.000017          0.011075
   852.000000                     0.000016          0.010963
   853.000000                     0.000016          0.010859
   854.000000                     0.000016          0.010760
   855.000000                     0.000016          0.010668
   856.000000                     0.000016          0.010583
   857.000000                     0.000016          0.010503
   858.000000                     0.000016          0.010431
   859.000000                     0.000016          0.010365
   860.000000                     0.000015          0.010306
   861.000000                     0.000015          0.010253
   862.000000                     0.000015          0.010208
   863.000000                     0.000015          0.010170
   864.000000                     0.000015          0.010140
   865.000000                     0.000015          0.010117
   866.000000                     0.000015          0.010103
   867.000000                     0.000015          0.010097
   868.000000                     0.000015          0.010099
   869.000000                     0.000015          0.010112
   870.000000                     0.000015          0.010134
   871.000000                     0.000015          0.010166
   872.000000                     0.000015          0.010210
   873.000000                     0.000015          0.010265
   874.000000                     0.000016          0.010334
   875.000000                     0.000016          0.010416
   876.000000                     0.000016          0.010513
   877.000000                     0.000016          0.010627
   878.000000                     0.000016          0.010758
   879.000000                     0.000016          0.010909
   880.000000                     0.000017          0.011081
   881.000000                     0.000017          0.011276
   882.000000                     0.000017          0.011498
   883.000000                     0.000018          0.011748
   884.000000                     0.000018          0.012031
   885.000000                     0.000019          0.012350
   886.000000                     0.000019          0.012709
   887.000000                     0.000020          0.013115
   888.000000                     0.000020          0.013572
   889.000000                     0.000021          0.014089
   890.000000                     0.000022          0.014673
   891.000000                     0.000023          0.015334
   892.000000                     0.000024          0.016085
   893.000000                     0.000025          0.016939
   894.000000                     0.000027          0.017912
   895.000000                     0.000029          0.019025
   896.000000                     0.000030          0.020299
   897.000000                     0.000033          0.021764
   898.000000                     0.000035          0.023450
   899.000000                     0.000038          0.025397
   900.000000                     0.000042          0.027647
   901.000000                     0.000045          0.030251
   902.000000                     0.000050          0.033261
   903.000000                     0.000055          0.036731
   904.000000                     0.000061          0.040709
   905.000000                     0.000068          0.045221
